Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
"National Archive needs cooperation to develop, official","KABUL: The National Archive of Afghanistan has officially been opened in 1977, during the government of Mohammad Daud Khan, Afghanistan’s first president, and has now turned into a home for tens of thousands of historical manuscripts and documents, an official said. More than 1oo, 000 historical manuscripts in the",Saida Ahmadi,"August 27, 2018",The Kabul Times,"KABUL: The National Archive of Afghanistan has officially been opened in 1977, during the government of Mohammad Daud Khan, Afghanistan’s first president, and has now turned into a home for tens of thousands of historical manuscripts and documents, an official said. More than 1oo, 000 historical manuscripts in the fields of culture, literature and religion, various copies of the holy Quran, as well as documents and protocols signed between Afghanistan and other neighboring countries, including four with China are in the archive, Mohammad Afsar Rahbeen, Director of Afghanistan National Archive. According to Rahbeen, photographs, newspapers, various Quran manuscripts from the Durrani period, old currency as well as both original and copies of many important documents are displayed for visitors, particularly, the treaty signed between Afghanistan and the British Empire in 1919, under which, Afghanistan was given complete independence and another important letter, written by Timur, dating the 14th century. The building interior design with its beautiful painted ceiling and carved woodwork was as praiseworthy as the archive’s contents. Regionally known, the National Archive of Afghanistan also preserves some oldest historical manuscripts like the one dating the first AD century and a holy Quran manuscript ascribed to Ottoman and Ali the third and fourth Islamic caliphs, said Rahbeen. “Among the contracts signed with China is a regionally valid agriculture scheme [Parwan Water-Supply], irrigating wide areas in the province; north of Kabul, the copy of which we received after approval by the country’s National Assembly,” the official added. Despite several decades of devastative civil war and trafficking of numerous ancient relics from Afghanistan to other world countries, the archive remained intact. “Fortunately, the National Archive of Afghanistan, is the only government-run institution that remained intact and safe from any kind of robbery and larceny, during civil conflicts.” Ordinary people, researchers and students are not more often visiting the still-war-affected country’s archive and the institution yet to have any revenue. According to the official, usually more or less than 100 people; many of them students, visit the archive on a daily basis. Mr. Rahbeen who said has never been to China, even during his tenure as Director of the Afghanistan National Archive, expected to visit Chinese museums to know which documents about his country was there. Farsi [one of Afghanistan official languages] was spoken widely in Kashgar and Tibet even some itineraries narrate Farsi songs played in the Chinese ships, highlighting the two countries cultural relations and considering one of the most valid contracts signed with China in 1969, so, both Afghan and Chinese sides need to visit each other archives to get information about both sides’ cultural documents, said Rahbeen. The National Archive of Afghanistan is housed in own century building, located on the main road in Deh Afghanan, central Kabul. The structure was originally built by Amir Abdul Rahman Khan for his son and successor Amir Habibullah in 1892. Shukria Kohistani","['Culture', 'Social']","['official', 'archive', 'visit', 'afghanistan', 'rahbeen', 'develop', 'cooperation', 'national', 'documents', 'manuscripts', 'china', 'signed', 'needs']","KABUL: The National Archive of Afghanistan has officially been opened in 1977, during the government of Mohammad Daud Khan, Afghanistan’s first president, and has now turned into a home for tens of thousands of historical manuscripts and documents, an official said. Despite several decades of devastative civil war and trafficking of numerous ancient relics from Afghanistan to other world countries, the archive remained intact. According to the official, usually more or less than 100 people; many of them students, visit the archive on a daily basis. Mr. Rahbeen who said has never been to China, even during his tenure as Director of the Afghanistan National Archive, expected to visit Chinese museums to know which documents about his country was there. The National Archive of Afghanistan is housed in own century building, located on the main road in Deh Afghanan, central Kabul.",https://thekabultimes.gov.af/2018/08/27/national-archive-needs-cooperation-to-develop-official/
Sancharaki inaugurates photo exhibition in National Archive,"KABUL: Fazel Sancharaki, the Deputy Minister of Information and Culture on Publications Affairs, the other day has opened the photo exhibition in the National Archive, Bakhtar News Agency reported Monday. Up to 100 of the old Kabul city photos have been displayed in the show, which is expected to continue for one",Saida Ahmadi,"August 14, 2018",The Kabul Times,"KABUL: Fazel Sancharaki, the Deputy Minister of Information and Culture on Publications Affairs, the other day has opened the photo exhibition in the National Archive, Bakhtar News Agency reported Monday. Up to 100 of the old Kabul city photos have been displayed in the show, which is expected to continue for one week, said the agency. The deputy minister speaking on the occasion, said: “Today’s photo exhibition features the past Kabul city face and remind the young generation with the past architectural and art relics of the ancient city and the ministry supports holding of such exhibition said the agency. The National Archive Director, Mohammad Afsar Rahbin also spoke in the ceremony and said up to 100 pictures from the old Kabul city were displayed, a move which could be called a link between the old and new Kabul, recalling the life style and culture of the old Kabul city, the agency said. The Kabul Times",['National'],"['culture', 'archive', 'inaugurates', 'kabul', 'deputy', 'old', 'past', 'minister', 'national', 'displayed', 'city', 'sancharaki', 'exhibition']","KABUL: Fazel Sancharaki, the Deputy Minister of Information and Culture on Publications Affairs, the other day has opened the photo exhibition in the National Archive, Bakhtar News Agency reported Monday. Up to 100 of the old Kabul city photos have been displayed in the show, which is expected to continue for one week, said the agency. The deputy minister speaking on the occasion, said: “Today’s photo exhibition features the past Kabul city face and remind the young generation with the past architectural and art relics of the ancient city and the ministry supports holding of such exhibition said the agency. The National Archive Director, Mohammad Afsar Rahbin also spoke in the ceremony and said up to 100 pictures from the old Kabul city were displayed, a move which could be called a link between the old and new Kabul, recalling the life style and culture of the old Kabul city, the agency said. The Kabul Times",https://thekabultimes.gov.af/2018/08/14/sancharaki-inaugurates-photo-exhibition-in-national-archive/
"“Attention to National Archive means to protect historical relics, national identity,” Minister Safi","KABUL: Acting and Nominee Minister of Information and Culture Ms. Hasina Safi in a meeting with National Archive staff and in-charges, reviewed that administration’s functions, Bakhtar News Agency (BNA) reported on Tuesday. Likewise, director of National Archive, Mohammad Afsar Rahbeen briefed the session about his",Saida Ahmadi,"August 1, 2018",The Kabul Times,"KABUL: Acting and Nominee Minister of Information and Culture Ms. Hasina Safi in a meeting with National Archive staff and in-charges, reviewed that administration’s functions, Bakhtar News Agency (BNA) reported on Tuesday. Likewise, director of National Archive, Mohammad Afsar Rahbeen briefed the session about his administration’s functions, achievements and plans and shared with acting minister of MoIC a number of problems particularly in term of ventilation system and lack of lab stuff, according to the agency. Pointing at national archive staff and in-charges’ attention on preservation and protection of historical relics and cultural belongings, Rahbeen asked for further attention to his administration to better protect the relics, BNA added. Furthermore, a number of national archive staff also shared their problems and suggestions with acting minister of information and culture. Praising the national archive functions and plans, Acting Minister of Information and Culture Hasina Safi said attention to national archive was in fact to protect historical relics and national identity. She added evaluation of the ministry’s directorates aims to address their problems and seek ways to get rid of them. The Kabul Times",['National'],"['information', 'archive', 'identity', 'relics', 'safi', 'acting', 'means', 'minister', 'attention', 'national', 'functions', 'staff', 'historical', 'protect', 'problems']","KABUL: Acting and Nominee Minister of Information and Culture Ms. Hasina Safi in a meeting with National Archive staff and in-charges, reviewed that administration’s functions, Bakhtar News Agency (BNA) reported on Tuesday. Pointing at national archive staff and in-charges’ attention on preservation and protection of historical relics and cultural belongings, Rahbeen asked for further attention to his administration to better protect the relics, BNA added. Furthermore, a number of national archive staff also shared their problems and suggestions with acting minister of information and culture. Praising the national archive functions and plans, Acting Minister of Information and Culture Hasina Safi said attention to national archive was in fact to protect historical relics and national identity. She added evaluation of the ministry’s directorates aims to address their problems and seek ways to get rid of them.",https://thekabultimes.gov.af/2018/08/01/attention-to-national-archive-means-to-protect-historical-relics-national-identity-minister-safi/
"“Arg Archive would only be run by MoIC,” President Ghani","KABUL: President Mohammad Ashraf Ghani, during a ceremony inaugurating the Arg Archive, said that the archive would only be run by the Ministry of Information and Culture and that no presidential officials have the authority of interfering in its affairs, BNA reported the other day. The agency quoted the president as",Saida Ahmadi,"July 21, 2018",The Kabul Times,"KABUL: President Mohammad Ashraf Ghani, during a ceremony inaugurating the Arg Archive, said that the archive would only be run by the Ministry of Information and Culture and that no presidential officials have the authority of interfering in its affairs, BNA reported the other day. The agency quoted the president as visiting different parts of the Arg Archive and saying the way would be paved for the researchers to access its documentaries, based on professional regulations, under the supervision of the ministry of information and culture. “Our Archive’s situation is extremely annoying, as in the past tens of documents have been pilled inside a box, with no classification,” regretted the president adding he had sent a delegation to monitor this archive and that of belonging to the Afghan Film, but their findings were that no enough facilities have been provided for their maintenance. Pointing to what the president called the archive an extra profession, said the archive should be managed and controlled by the skilled personnel and the ministry of information and culture would be the only authorized entity to manage and control the archive with no authority to the presidential officials to interfere in the affairs. The president said the archive was a good source of revenue for the ministry of information and culture, the agency said. He pointed to the role of the students and said both school and university students have to get familiarized with the history of their country and that the main aim of the archive inauguration was to protect it and help the experts and totally the entire people of Afghanistan get access to the documents. The Kabul Times",['National'],"['ghani', 'ministry', 'archive', 'information', 'kabul', 'arg', 'run', 'authority', 'moic', 'students', 'officials', 'president', 'culture', 'presidential']","KABUL: President Mohammad Ashraf Ghani, during a ceremony inaugurating the Arg Archive, said that the archive would only be run by the Ministry of Information and Culture and that no presidential officials have the authority of interfering in its affairs, BNA reported the other day. The agency quoted the president as visiting different parts of the Arg Archive and saying the way would be paved for the researchers to access its documentaries, based on professional regulations, under the supervision of the ministry of information and culture. Pointing to what the president called the archive an extra profession, said the archive should be managed and controlled by the skilled personnel and the ministry of information and culture would be the only authorized entity to manage and control the archive with no authority to the presidential officials to interfere in the affairs. The president said the archive was a good source of revenue for the ministry of information and culture, the agency said. The Kabul Times",https://thekabultimes.gov.af/2018/07/21/arg-archive-would-only-be-run-by-moic-president-ghani/
Health sector still facing challenges despite of progress in Afghanistan,"World Health Day is marked globally on 7 April every year. The day is celebrated in Afghanistan at a time when nearly 40 percent of Afghan population are deprived of access to health services due to various problems in the country, according to World Health Organization (WHO). Based on remarks of minister of public",Saida Ahmadi,"April 7, 2019",The Kabul Times,"World Health Day is marked globally on 7 April every year. The day is celebrated in Afghanistan at a time when nearly 40 percent of Afghan population are deprived of access to health services due to various problems in the country, according to World Health Organization (WHO). Based on remarks of minister of public health Ferozuddin Feroz, despite of various problems, considerable developments have been made towards improvement of health services delivery in Afghanistan. Health sector condition which was unacceptable before and during 2001 has considerably improved during the past 18 years, but there are still problems as present hospital and medical laboratories are not responding the people’s needs; therefore, thousands of people prefer to go neighboring countries for further treatment of their diseases. Currently, increasing of various diseases incidents in Afghanistan has created problems to Afghans who are mostly suffering diseases that are easily curable in other countries and changed to somehow incurable diseases among Afghans. On the other hand, incidents of fatal diseases as cancer and HIV are increasing in the country. Thousands of people suffering such diseases have lost their life due to that the fact that they could not afford to pay for treatment of their diseases abroad Reports have shown that the people of Afghanistan spend more than $1 billion annually for health services delivery. Therefore, thousands of families due to dissatisfaction with quality of health services in Afghanistan prefer to visit Pakistan and India for treatment of their patients, showing low-quality of health services in the country. Tuberculosis: Tuberculosis is among infectious curable diseases that are treated in nearly 2,355 health centers in 34 provinces of the country where thousands of people unfortunately lose their life every year due to the disease in Afghanistan. Based on WHO statistics, every year 61,000 people get infected to this curable disease in Afghanistan and almost 12,000 of them lose their life due to lack of standard health services in the country. AIDS or HIV is also among fatal diseases the incidents of which are increasing in the country. Due to lack of standard health services, incidents of the disease are increasing year by year. Meanwhile, cancer is also among diseases whose incidents are increasing in the country. According to Ministry of Public Health (MoPH), 60 people suffering cancer are daily treated in cancer control center in the country. Based on WHO statistics, nearly 20,000 incidents of fatal cancer are diagnosed annually in Afghanistan where 15,000 of them lose their life due to lack of standard health services in the country. MoPH stresses that in consideration to predictions the number of people suffering to cancer is increasing by 50% in ten years. Lack of sufficient budget is considered as one of key challenges facing the country’s health sector. Currently, $5 is allocated annually to each person to receive health services. The amount is very less comparing to amount allocated for each person in other countries. In order to address current problems in health sector of the country, it is needed that further budget should be allocated for improvement of health sector in the country. Lailuma Noori",['Health'],"['incidents', 'despite', 'sector', 'afghanistan', 'challenges', 'progress', 'health', 'diseases', 'cancer', 'increasing', 'thousands', 'country', 'facing', 'services', 'problems']","Based on remarks of minister of public health Ferozuddin Feroz, despite of various problems, considerable developments have been made towards improvement of health services delivery in Afghanistan. Therefore, thousands of families due to dissatisfaction with quality of health services in Afghanistan prefer to visit Pakistan and India for treatment of their patients, showing low-quality of health services in the country. Due to lack of standard health services, incidents of the disease are increasing year by year. Currently, $5 is allocated annually to each person to receive health services. In order to address current problems in health sector of the country, it is needed that further budget should be allocated for improvement of health sector in the country.",https://thekabultimes.gov.af/2019/04/07/health-sector-still-facing-challenges-despite-of-progress-in-afghanistan/
NPC approves 10 contracts worth 3.5 billion Afghanis,"KABUL: Chaired by President Mohammad Ashraf Ghani, the 183rd meeting of the National Procurement Commission (NPC) was held on Sunday evening at presidential palace. At the meeting, 12 procurement contracts were reviewed which resulted in approval of 10 contracts worth 3.5 billion Afghanis. Request for approval of the",Saida Ahmadi,"April 2, 2019",The Kabul Times,"KABUL: Chaired by President Mohammad Ashraf Ghani, the 183rd meeting of the National Procurement Commission (NPC) was held on Sunday evening at presidential palace. At the meeting, 12 procurement contracts were reviewed which resulted in approval of 10 contracts worth 3.5 billion Afghanis. Request for approval of the contract for the construction of the road of Dasht-e-Qala to Khwajah Bahauddin District and the route through Ay-Khanoum port (Beyond Kokcha) with 22 KM long asphalt pavement; related to the Ministry of Transport and request for procurement of Bandwidth Internet required by universities and institutes of higher education through fiber optic; related to the Ministry of Higher Education were approved by NPC. Moreover; the request for procurement of spring and winter uniform for technical staff, cleaners, drivers and security guards of Da Afghanistan Brekhna Sherkat (DABS) was awarded to a bidder; where most of their staff are women. The country’s President praised the DABS efforts and emphasized that government was committed in supporting domestic products. Ministry of Agriculture, Irrigation and Livestock (MAIL) requested for approval of the contract for the rent of cars required (Corolla & Hilux) for National Horticulture and Livestock Project (NHLP) program; which after review and discussion; the project was awarded to the bidder who offered the first low rate, and it was decided that a comprehensive review should be made to purchase these vehicles in the future. The request for approval of the contract for Sukok Printing Press project, including construction, electricity, canalization and ventilation; related to the Operation and National Development Support Authority; was approved in principle by NPC, and it was entrusted to provide a report to provide a comprehensive overview on procedure and construction progress of the contracts by Banayee Enterprises and present it to High Economic Council (HEC). The report of Ministry of Foreign Affairs (MoFA) on procurement the villa for Consulate of Islamic Republic of Afghanistan in Istanbul was approved in principle by NPC and it was decided that, in order to reduce the price of respected villa; the assigned committee entrusted to negotiates with proposed bidder. However; the request for approval of the contract for reconstruction and renovation of the complex of diplomatic archive; related to the Ministry of Foreign Affairs (MoFA) was rejected by NPC and it was decided to re-process the procurement procedures of the project through restricted bidding method. Meanwhile; the request for approval of contract for two-way air transportation of (30,350) Hajj pilgrims from Afghanistan to Saudi Arabia for 1398 fiscal year; was returned by NPC and Ministries of Finance, Economy, Hajj and Religious Affairs and National Procurement Authority (NPA) were entrusted to negotiated with Ariana Afghan Airlines and Kam Air Airline in this respect. The request of Ministry of Mines and Petroleum on termination of bidding process for copper and gold mines of Zarkashan in Ghazni Province was also approved by NPC and respected Ministry was entrusted to facilitate the way for fair competition among the companies. In addition; the proposal of mentioned Ministry on Afghanistan Lithium basic survey project was also approved by NPC. Meanwhile; request for modification of the contract (Time extension) on construction of Mehtarlam Baba ring road; with 4.8 KM long asphalt pavement in Laghman Province; related to Ministry of Transport was approved and the request for additional budget for this contract was rejected by NPC. Consequently; National Procurement Authority (NPA) proposed the procedure on Afghanistan accession to Government Procurement Agreement (GPA) of World Trade Organization (WTO) which was approved by NPC. In this meeting; beside the NPC members; the officials of National Procurement Authority, the national and international observers including the Parliamentary Anti-Corruption Caucus (PACC), Finance, Budget and National Economy Commissions of Lower House (Wolasi Jirga), Integrity Watch Afghanistan (IWA), the Special Inspector General for Afghanistan Reconstruction (SIGAR), and Combined Security Transition Command (CSTC-A) of the Resolute Support, had also participated. The Kabul Times",['National'],"['approves', 'ministry', 'procurement', 'afghanistan', 'worth', 'contract', 'approval', 'request', 'related', 'national', 'approved', 'afghanis', 'billion', '35', 'contracts', 'npc']","KABUL: Chaired by President Mohammad Ashraf Ghani, the 183rd meeting of the National Procurement Commission (NPC) was held on Sunday evening at presidential palace. At the meeting, 12 procurement contracts were reviewed which resulted in approval of 10 contracts worth 3.5 billion Afghanis. The country’s President praised the DABS efforts and emphasized that government was committed in supporting domestic products. In addition; the proposal of mentioned Ministry on Afghanistan Lithium basic survey project was also approved by NPC. Consequently; National Procurement Authority (NPA) proposed the procedure on Afghanistan accession to Government Procurement Agreement (GPA) of World Trade Organization (WTO) which was approved by NPC.",https://thekabultimes.gov.af/2019/04/02/npc-approves-10-contracts-worth-3-5-billion-afghanis/
Handwritten Holy Quran handed over to MoIC,"KABUL: At the presence of the acting minister of information and culture, Hasina Safi, five handwritten holy Quran have been submitted by a representative of the national directorate for security to the National Archive of Afghanistan, BNA reported the other day. While handing over the Holy Quran old manuscript, the",Saida Ahmadi,"February 3, 2019",The Kabul Times,"KABUL: At the presence of the acting minister of information and culture, Hasina Safi, five handwritten holy Quran have been submitted by a representative of the national directorate for security to the National Archive of Afghanistan, BNA reported the other day. While handing over the Holy Quran old manuscript, the representative said they have been seized from smugglers planning to take them abroad from the Maidan Wardak province, the agency said. Speaking on the occasion, Minister Safi thanked the national security directorate for returning the manuscripts, said that not only the ministry of information and culture and the country’s security forces, but also the entire people of Afghanistan have responsibility in protection of these assets. According to another report, the acting minister also met with the members of the Paiwand 34 Cultural and Art Foundation. According to the Bakhtar News Agency (BNA), the members have come from Herat, Balkh, Kandahar, Bamyan, Ghor and Nangarhar on Saturday. At the meeting, the country’s minister of information and culture shared information about the art festival expected to be held to appreciate the art elites in Kabul, the agency added. The meeting members also exchanged views over the problems faced by the theater, cinema and music and other fields in the provinces, with the minister promising for needed cooperation in this field. The Kabul Times",['National'],"['members', 'art', 'information', 'agency', 'security', 'kabul', 'handwritten', 'safi', 'minister', 'handed', 'quran', 'holy', 'national', 'moic', 'culture']","KABUL: At the presence of the acting minister of information and culture, Hasina Safi, five handwritten holy Quran have been submitted by a representative of the national directorate for security to the National Archive of Afghanistan, BNA reported the other day. While handing over the Holy Quran old manuscript, the representative said they have been seized from smugglers planning to take them abroad from the Maidan Wardak province, the agency said. According to another report, the acting minister also met with the members of the Paiwand 34 Cultural and Art Foundation. According to the Bakhtar News Agency (BNA), the members have come from Herat, Balkh, Kandahar, Bamyan, Ghor and Nangarhar on Saturday. At the meeting, the country’s minister of information and culture shared information about the art festival expected to be held to appreciate the art elites in Kabul, the agency added.",https://thekabultimes.gov.af/2019/02/03/handwritten-holy-quran-handed-over-to-moic/
Women with severe anemia requires comprehensive preventive strategies,"The 40 percent risk of maternal mortality concerning women with severe anemia during pregnancy requires comprehensive preventive strategies to be elaborated.  Recognized by the WHO as a global problem with serious consequence for mothers and their babies, anemia gives rise to complex interrelated issues affecting",Saida Ahmadi,"January 30, 2019",The Kabul Times,"The 40 percent risk of maternal mortality concerning women with severe anemia during pregnancy requires comprehensive preventive strategies to be elaborated. Recognized by the WHO as a global problem with serious consequence for mothers and their babies, anemia gives rise to complex interrelated issues affecting motherhood and childhood. The annual mortality rate for each of the 100,000-iron deficiency anemia in the 1990s was 46.8. Today anemia during pregnancy represents a global public health challenge increasingly faced by developing countries. Results Maternal anemia is associated with poor intrauterine growth and increased risk of preterm birth and low birth weight rates. Consequently, it all results in higher perinatal morbidity and mortality, and higher infant mortality rates. Doubling of low birth weight and 2 to 3-fold increase in perinatal mortality rates. Anemia in pregnancy is considered as important contributor to maternal mortality or morbidity and low birth weight. The latter is likely to lead to increased infant mortality. The maximum and minimum prevalence of severe anemia affecting pregnant women is 20 and 2.7 percent. Directly or indirectly, anemia is responsible for 40 percent of maternal deaths. Methods The prevalence of anemia in South Asian countries is among the highest in the world. The WHO estimates that even among the South Asian countries India has the highest prevalence of anemia. We should emphasize that approximately half global maternal deaths due to anemia occur in South Asian countries. India contributes to about 80 percent of maternal deaths due to anemia in South Asia. It is obvious that India’s contribution to both the prevalence of anemia in pregnancy and maternal deaths due to anemia is higher than the guaranteed size of it. Conclusions Considered as the most frequent maternal complication of pregnancy, anemia has as following risk factors: – compliance to iron and folic acid supplementation. – deficiency of vitamin B12,low BMI – infection with ascariasis, infections such as malaria, HIV, and hookworm infestation -deficient dietary consumption of foods fortified with iron, -other nutritional deficiencies, respectively. – low socioeconomic conditions and high parity. Dr. Ghafoor Mina Abdul",['Health'],"['women', 'low', 'anemia', 'weight', 'south', 'prevalence', 'strategies', 'comprehensive', 'risk', 'pregnancy', 'preventive', 'mortality', 'birth', 'requires', 'severe', 'maternal']","The 40 percent risk of maternal mortality concerning women with severe anemia during pregnancy requires comprehensive preventive strategies to be elaborated. ResultsMaternal anemia is associated with poor intrauterine growth and increased risk of preterm birth and low birth weight rates. Doubling of low birth weight and 2 to 3-fold increase in perinatal mortality rates. Anemia in pregnancy is considered as important contributor to maternal mortality or morbidity and low birth weight. ConclusionsConsidered as the most frequent maternal complication of pregnancy, anemia has as following risk factors:– compliance to iron and folic acid supplementation.",https://thekabultimes.gov.af/2019/01/30/women-with-severe-anemia-requires-comprehensive-preventive-strategies/
